CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
SBA000131,application,"Server Based Application",WBS000023,IM0006199,Closed,NS,4,NA,0.543126037,incident,KM0000283,closed,0,"17-10-2013 11:01",,"17-10-2013 11:37","17-10-2013 11:37","0,601944444","User error",1,SD0015747,,,
DTA000016,application,"Desktop Application",WBS000096,IM0006200,Closed,4,4,4,0.764529544,incident,KM0001026,closed,0,"17-10-2013 11:12",,"17-10-2013 14:58","17-10-2013 14:58","3,76,91,66,667",Hardware,1,SD0015750,,,
WBA000133,application,"Web Based Application",WBS000073,IM0006201,Closed,5,5,5,0.537456721,incident,KM0000794,closed,0,"17-10-2013 11:17",,"17-10-2013 14:32","17-10-2013 14:32","3,25,02,77,778",Other,1,SD0015752,,,
DTA000044,application,"Desktop Application",WBS000089,IM0006202,Closed,4,4,4,0.346246666,incident,KM0000408,closed,0,"17-10-2013 11:20",,"17-10-2013 16:19","17-10-2013 16:19","4,98,63,88,889",Software,1,SD0015754,,,
SUB000436,subapplication,"Web Based Application",WBS000073,IM0006203,Closed,5,5,5,0.535793554,incident,KM0000712,closed,0,"17-10-2013 11:26",,"17-10-2013 12:08","17-10-2013 12:08","0,711944444","Operator error",1,SD0015757,,,
WBA000124,application,"Web Based Application",WBS000088,IM0006204,Closed,3,3,3,0.251875856,incident,KM0000611,closed,7,"17-10-2013 11:28",,"21-03-2014 16:21","21-03-2014 16:21","1,13,88,875",Other,1,SD0015749,1,,
SBA000464,application,"Server Based Application",WBS000073,IM0006205,Closed,4,4,4,0.953020748,incident,KM0001316,closed,0,"17-10-2013 11:39",,"17-10-2013 15:03","17-10-2013 15:03","3,40,05,55,556","User error",1,SD0015761,,,
SUB000113,subapplication,"Server Based Application",WBS000095,IM0006206,Closed,5,5,5,0.967390003,"request for information",KM0000225,closed,1,"17-10-2013 11:46",,"17-10-2013 15:44","17-10-2013 15:44","3,97,47,22,222","User error",1,SD0015769,,,
WBA000017,application,"Web Based Application",WBS000138,IM0006207,Closed,4,4,4,0.755254241,incident,KM0000123,closed,2,"17-10-2013 11:49",,"22-10-2013 12:41","22-10-2013 12:41","2,27,98,05,556",Other,1,SD0015766,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0006208,Closed,4,4,4,0.460485842,incident,KM0000553,closed,7,"17-10-2013 11:49",,"10-01-2014 08:03","10-01-2014 08:04","3,64,475","No error - works as designed",1,SD0015763,,,
SBA000698,application,"Server Based Application",WBS000090,IM0006209,Closed,4,4,4,0.013119003,incident,KM0001526,closed,1,"17-10-2013 11:51",,"29-10-2013 08:32","29-10-2013 08:32","2,00,39,44,444",Software,2,#MULTIVALUE,,,
MON00015,displaydevice,Monitor,WBS000091,IM0006210,Closed,4,4,4,0.984415731,incident,KM0000316,closed,0,"17-10-2013 12:10",,"22-10-2013 13:03","22-10-2013 13:03","3,23,85,83,333",Hardware,1,SD0016007,,,
DSK000409,computer,Desktop,WBS000187,IM0006211,Closed,5,5,5,0.886406276,incident,KM0001446,closed,1,"17-10-2013 12:19",,"21-10-2013 13:43","21-10-2013 13:43","2,24,08,88,889",Hardware,1,SD0016005,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006212,Closed,4,4,4,0.815885812,incident,KM0001736,closed,0,"17-10-2013 12:20",,"17-10-2013 12:36","17-10-2013 12:36","0,256666667",Other,1,SD0016013,,,
DTA000012,application,"Desktop Application",WBS000092,IM0006213,Closed,4,4,4,0.145708961,incident,KM0000187,closed,0,"17-10-2013 12:22",,"17-10-2013 13:27","17-10-2013 13:27","1,09,13,88,889",Software,1,SD0016015,,,
CBA000014,application,"Client Based Application",WBS000073,IM0006214,Closed,4,4,4,0.805967764,incident,KM0001790,closed,7,"17-10-2013 12:27",,"29-10-2013 08:30","29-10-2013 08:30","1,42,80,83,333","No error - works as designed",1,SD0016012,,,
SUB000424,subapplication,"Web Based Application",WBS000073,IM0006215,Closed,4,4,4,0.466663345,incident,KM0000704,closed,0,"17-10-2013 12:40",,"17-10-2013 12:49","17-10-2013 12:50","0,155833333",Other,1,SD0016020,,,
WBA000011,application,"Web Based Application",WBS000152,IM0006216,Closed,5,5,5,0.510188721,incident,KM0000076,closed,2,"17-10-2013 10:17",,"22-10-2013 13:35","22-10-2013 13:35","3,18,18,61,111",Software,1,SD0015775,,,
SUB000002,subapplication,Citrix,WBS000098,IM0006217,Closed,4,4,4,0.49413426,incident,KM0001435,closed,2,"17-10-2013 10:32","29-10-2013 10:16","25-11-2013 09:12","25-11-2013 09:13","1,63,18,36,111",Software,2,#MULTIVALUE,,,
WBA000128,application,"Web Based Application",WBS000063,IM0006218,Closed,4,4,4,0.151649584,incident,KM0002008,closed,0,"17-10-2013 10:37",,,"17-10-2013 10:53","0,281111111",Other,1,SD0015785,,,
WBA000058,application,"Web Based Application",WBS000073,IM0006219,Closed,4,4,4,0.475744502,incident,KM0000819,closed,0,"17-10-2013 10:38",,"17-10-2013 10:47","17-10-2013 10:47","0,160277778",Other,1,SD0015786,,,
SUB000424,subapplication,"Web Based Application",WBS000073,IM0006220,Closed,5,5,5,0.080416881,incident,KM0000703,closed,0,"17-10-2013 10:47",,"17-10-2013 14:22","17-10-2013 14:22","35,725",Other,1,SD0015788,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006221,Closed,4,4,4,0.980484416,incident,KM0000741,closed,0,"17-10-2013 10:53",,"17-10-2013 11:31","17-10-2013 11:31","0,631666667",Other,1,SD0015792,,,
SBA000295,application,"Server Based Application",WBS000268,IM0006222,Closed,3,3,3,0.172285787,incident,KM0000363,closed,0,"17-10-2013 11:00",,"17-10-2013 12:18","17-10-2013 12:19","1,31,05,55,556",Unknown,1,SD0015798,,,
SBA000659,application,"Server Based Application",WBS000128,IM0006223,Closed,4,4,4,0.965369062,incident,KM0002059,closed,0,"17-10-2013 11:02",,"17-10-2013 12:00","17-10-2013 12:00","0,954166667",Software,1,SD0015799,,,
SBA000054,application,"Server Based Application",WBS000013,IM0006224,Closed,3,3,3,0.325714392,incident,KM0000052,closed,0,"17-10-2013 11:03",,"17-10-2013 12:34","17-10-2013 12:34","1,50,55,55,556","User error",1,SD0015803,,,
SBA000607,application,"Server Based Application",WBS000263,IM0006225,Closed,5,5,5,0.902438782,"request for information",KM0001825,closed,1,"17-10-2013 11:04",,"22-10-2013 12:10","22-10-2013 12:10","2,14,23,33,333","No error - works as designed",1,SD0015795,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006226,Closed,4,4,4,0.236354068,incident,KM0000761,closed,0,"17-10-2013 11:15",,"17-10-2013 11:27","17-10-2013 11:27","0,214166667","Operator error",1,SD0015805,,,
WBA000144,application,"Web Based Application",WBS000318,IM0006227,Closed,4,4,4,0.860209233,incident,KM0000839,closed,1,"17-10-2013 11:16",,"21-10-2013 12:51","21-10-2013 12:51","2,25,81,11,111",Other,1,SD0015804,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006228,Closed,4,4,4,0.448807518,incident,KM0000762,closed,0,"17-10-2013 11:22",,"17-10-2013 11:28","17-10-2013 11:28","0,107222222",Other,1,SD0015809,,,
SBA000458,application,"Server Based Application",WBS000073,IM0006229,Closed,5,5,5,0.802512917,incident,KM0001986,closed,0,"17-10-2013 11:25",,"18-10-2013 08:41","18-10-2013 08:41","7,76,69,44,444",Software,1,SD0015810,,,
WSR001647,computer,"Windows Server",WBS000102,IM0006230,Closed,4,4,4,0.488251661,incident,KM0000036,closed,5,"17-10-2013 11:42",,"18-10-2013 13:12","18-10-2013 13:30","1,22,94,16,667",Software,1,SD0015818,,,
WBA000144,application,"Web Based Application",WBS000318,IM0006232,Closed,5,5,5,0.110722417,"request for information",KM0000836,closed,0,"17-10-2013 12:04",,"17-10-2013 13:16","17-10-2013 13:17","1,21,38,88,889","User manual not used",1,SD0015826,,,
LAP000815,computer,Laptop,WBS000091,IM0006233,Closed,4,4,4,0.466324663,incident,KM0001526,closed,9,"17-10-2013 12:08",,"25-10-2013 14:40","25-10-2013 14:40","4,52,46,11,111",Software,1,SD0015827,,,
SBA000119,application,"Server Based Application",WBS000249,IM0006234,Closed,4,4,4,0.114157831,incident,KM0001322,closed,0,"17-10-2013 12:12",,"17-10-2013 14:28","17-10-2013 14:29","0,105555556","User error",1,SD0015828,,,
SBA000304,application,"Server Based Application",WBS000088,IM0006235,Closed,4,4,4,0.676014266,incident,KM0000293,closed,2,"17-10-2013 12:27",,"25-10-2013 15:52","25-10-2013 15:53","66,435",Other,1,SD0015830,,,
CBD000784,computer,"Banking Device",WBS000146,IM0006236,Closed,2,2,2,0.257653938,incident,KM0000274,closed,1,"17-10-2013 12:29",,"18-10-2013 13:04","18-10-2013 13:04","2,45,83,61,111",Other,1,SD0015833,,,
SAP000003,application,SAP,WBS000271,IM0006237,Closed,3,3,3,0.939721045,incident,KM0001163,closed,11,"17-10-2013 12:38",,"18-10-2013 17:41","18-10-2013 17:42","1,55,58,61,111",Other,1,SD0015835,,,
OVR000014,,,WBS000204,IM0006238,Closed,3,3,3,0.066887142,incident,KM0001141,closed,1,"17-10-2013 13:06",,"18-10-2013 13:37","18-10-2013 13:38","3,26,19,44,444",Hardware,1,SD0015841,,,
CNT000003,storage,Controller,WBS000182,IM0006239,Closed,3,3,3,0.310682577,incident,KM0001141,closed,1,"17-10-2013 13:09",,"18-10-2013 13:38","18-10-2013 13:38","3,25",Hardware,,#N/B,,,
SBA000017,application,"Server Based Application",WBS000099,IM0006240,Closed,3,3,3,0.813079736,incident,KM0000480,closed,0,"17-10-2013 13:08",,,"17-10-2013 13:11","0,048888889","User error",1,SD0015843,,,
SUB000538,subapplication,"Web Based Application",WBS000073,IM0006241,Closed,4,4,4,0.119797308,"request for information",KM0000848,closed,0,"17-10-2013 13:10",,"18-10-2013 09:02","18-10-2013 09:02","6,35,86,11,111","No error - works as designed",1,SD0015839,,,
SBA000074,application,"Server Based Application",WBS000152,IM0006242,Closed,5,5,5,0.77981211,incident,KM0001792,closed,6,"17-10-2013 13:15",,"25-10-2013 11:15","25-10-2013 11:15","3,37,15,27,778",Software,1,SD0015844,,,
LAP001140,computer,Laptop,WBS000187,IM0006243,Closed,5,5,5,0.032241881,incident,KM0001447,closed,0,"17-10-2013 13:24",,"18-10-2013 12:47","18-10-2013 12:47","9,87,91,66,667",Hardware,1,SD0015849,,,
SBA000805,application,"Server Based Application",WBS000016,IM0006244,Closed,3,3,3,0.299498567,incident,KM0000938,closed,0,"17-10-2013 13:27",,"17-10-2013 13:28","17-10-2013 13:28","0,013611111",Referred,1,SD0015852,,,
OVR000033,,,WBS000118,IM0006245,Closed,5,5,5,0.824958858,incident,KM0001172,closed,3,"17-10-2013 13:36",,"23-10-2013 15:26","23-10-2013 15:26","4,30,57,22,222",Software,1,SD0016203,,,
SBA000017,application,"Server Based Application",WBS000099,IM0006246,Closed,3,3,3,0.593345055,incident,KM0000480,closed,2,"17-10-2013 13:36",,"17-10-2013 15:43","17-10-2013 15:43","2,11,83,33,333","User error",1,SD0016204,,,
WSR000786,computer,"Windows Server",WBS000102,IM0006247,Closed,4,4,4,0.904197518,incident,KM0000970,closed,0,"17-10-2013 13:38",,"18-10-2013 15:15","18-10-2013 15:15","3,15,27,77,778",Software,1,SD0016205,,,
WBA000011,application,"Web Based Application",WBS000152,IM0006248,Closed,5,5,5,0.021215151,incident,KM0000075,closed,1,"17-10-2013 13:51",,"23-10-2013 13:47","23-10-2013 13:47","4,19,45,55,556",Other,1,SD0016210,,,
CBA000014,application,"Client Based Application",WBS000073,IM0006249,Closed,4,4,4,0.286522078,"request for information",KM0001346,closed,2,"17-10-2013 14:06","22-10-2013 14:40","24-10-2013 12:02","24-10-2013 12:02","3,75,64,16,667","No error - works as designed",2,#MULTIVALUE,,,
DSK000376,computer,Desktop,WBS000187,IM0006250,Closed,5,5,5,0.441549721,incident,KM0001446,closed,0,"17-10-2013 10:40",,"18-10-2013 09:13","18-10-2013 09:13","9,04,11,11,111",Hardware,1,SD0015567,,,
WBA000011,application,"Web Based Application",WBS000152,IM0006251,Closed,3,3,3,0.83377801,incident,KM0000075,closed,2,"17-10-2013 10:45",,"17-10-2013 15:04","17-10-2013 15:04","3,76,36,11,111",Software,1,SD0015564,,,
SAP000005,application,SAP,WBS000271,IM0006252,Closed,5,5,5,0.340832084,"request for information",KM0001571,closed,2,"17-10-2013 10:55","17-10-2013 14:31","04-11-2013 13:41","04-11-2013 13:41","1,25,90,83,333",Other,2,#MULTIVALUE,,,
SBA000462,application,"Server Based Application",WBS000073,IM0006253,Closed,4,4,4,0.111846781,incident,KM0001402,closed,3,"17-10-2013 11:02",,"30-10-2013 11:48","30-10-2013 11:48","9,52,73,05,556",Software,1,SD0015861,,,
DSK000020,computer,Desktop,WBS000091,IM0006254,Closed,5,5,5,0.648771804,incident,KM0000315,closed,1,"17-10-2013 11:04",,"17-10-2013 12:55","17-10-2013 12:55","1,35,58,33,333",Hardware,1,SD0015862,,,
SAP000005,application,SAP,WBS000271,IM0006255,Closed,5,5,5,0.144314408,"request for information",KM0001572,closed,0,"17-10-2013 11:07",,"17-10-2013 14:01","17-10-2013 14:01","2,90,80,55,556",Other,1,SD0015863,,,
SAP000004,application,SAP,WBS000271,IM0006256,Closed,5,5,5,0.578561813,"request for information",KM0001270,closed,0,"17-10-2013 11:12",,"17-10-2013 14:20","17-10-2013 14:20","31,425",Other,1,SD0015865,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006257,Closed,5,5,5,0.544564669,"request for information",KM0001113,closed,0,"17-10-2013 11:13",,"17-10-2013 14:26","17-10-2013 14:26","3,20,69,44,444",Other,1,SD0015867,,,
SUB000424,subapplication,"Web Based Application",WBS000073,IM0006258,Closed,5,5,5,0.173325321,incident,KM0000703,closed,0,"17-10-2013 11:15",,"17-10-2013 11:25","17-10-2013 11:25","0,161111111",Software,1,SD0015864,,,
SUB000113,subapplication,"Server Based Application",WBS000095,IM0006259,Closed,5,5,5,0.615209366,"request for information",KM0000226,closed,1,"17-10-2013 11:16",,"17-10-2013 13:03","17-10-2013 13:03","1,78,38,88,889",Other,1,SD0015866,,,
SUB000424,subapplication,"Web Based Application",WBS000073,IM0006260,Closed,5,5,5,0.827638075,incident,KM0000703,closed,0,"17-10-2013 11:17",,"17-10-2013 11:32","17-10-2013 11:32","0,248888889",Software,1,SD0015869,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006261,Closed,5,5,5,0.389436568,"request for information",KM0001114,closed,0,"17-10-2013 11:17",,"17-10-2013 15:19","17-10-2013 15:19","4,03,16,66,667",Other,1,SD0015871,,,
SAP000005,application,SAP,WBS000271,IM0006262,Closed,5,5,5,0.038937946,"request for information",KM0001572,closed,0,"17-10-2013 11:19",,"17-10-2013 15:22","17-10-2013 15:22","4,05,63,88,889",Other,1,SD0015873,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006263,Closed,5,5,5,0.888415045,"request for information",KM0001104,closed,0,"17-10-2013 11:21",,"21-10-2013 10:19","21-10-2013 10:19","1,99,79,72,222",Other,1,SD0015874,,,
SBA000607,application,"Server Based Application",WBS000263,IM0006264,Closed,5,5,5,0.042064985,"request for information",KM0001825,closed,0,"17-10-2013 11:24",,"17-10-2013 12:12","17-10-2013 12:12","0,796111111",Other,1,SD0015876,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006265,Closed,5,5,5,0.353615073,"request for information",KM0001114,closed,0,"17-10-2013 11:28",,"18-10-2013 10:22","18-10-2013 10:22","4,40,80,55,556",Other,1,SD0015880,,,
SBA000131,application,"Server Based Application",WBS000023,IM0006266,Closed,NS,4,NA,0.704318816,incident,KM0000283,closed,0,"17-10-2013 11:37",,"17-10-2013 11:58","17-10-2013 11:58","0,348611111","User error",1,SD0015884,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006267,Closed,5,5,5,0.387308737,"request for information",KM0001116,closed,0,"17-10-2013 11:38","17-10-2013 12:06","17-10-2013 12:15","17-10-2013 12:15","0,158888889",Other,2,#MULTIVALUE,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006268,Closed,5,5,5,0.049497525,"request for information",KM0001114,closed,0,"17-10-2013 11:40",,"21-10-2013 14:43","21-10-2013 14:43","4,29,80,55,556",Other,1,SD0015891,,,
SBA000464,application,"Server Based Application",WBS000073,IM0006269,Closed,4,4,4,0.478707898,incident,KM0001314,closed,1,"17-10-2013 11:43",,"18-10-2013 15:58","18-10-2013 15:58","1,27,07,77,778",Other,1,SD0015886,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006270,Closed,5,5,5,0.578890065,"request for information",KM0001113,closed,0,"17-10-2013 11:43",,"17-10-2013 16:31","17-10-2013 16:31","4,79,94,44,444",Other,1,SD0015892,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006271,Closed,5,5,5,0.648107376,"request for information",KM0001113,closed,0,"17-10-2013 11:50",,"18-10-2013 08:54","18-10-2013 08:54","7,57,36,11,111",Other,1,SD0015895,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006272,Closed,4,4,4,0.470304433,incident,KM0000741,closed,0,"17-10-2013 11:54",,"17-10-2013 12:16","17-10-2013 12:17","0,385833333",Other,1,SD0015896,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006273,Closed,4,4,4,0.946326354,incident,KM0000741,closed,1,"17-10-2013 11:56","17-10-2013 14:22","13-11-2013 10:52","13-11-2013 10:52","68,525",Software,2,#MULTIVALUE,,,
SAP000004,application,SAP,WBS000271,IM0006274,Closed,5,5,5,0.564807569,"request for information",KM0001382,closed,0,"17-10-2013 11:58",,"17-10-2013 11:59","17-10-2013 11:59","0,021666667",Other,1,SD0015901,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006275,Closed,4,4,4,0.356425662,incident,KM0000741,closed,6,"17-10-2013 12:01","17-10-2013 14:23","13-11-2013 10:52","13-11-2013 10:52","102,91",Software,2,#MULTIVALUE,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006276,Closed,5,5,5,0.728314923,"request for information",KM0001113,closed,0,"17-10-2013 12:04",,"22-10-2013 16:10","22-10-2013 16:10","3,55,99,16,667",Other,1,SD0015904,,,
SAP000005,application,SAP,WBS000271,IM0006277,Closed,5,5,5,0.988349636,"request for information",KM0001571,closed,2,"17-10-2013 12:06",,"18-10-2013 10:02","18-10-2013 10:02","8,43,11,11,111",Other,1,SD0015905,,,
SBA000782,application,"Server Based Application",WBS000043,IM0006278,Closed,3,3,3,0.593364623,incident,KM0001762,closed,0,"17-10-2013 12:12",,"17-10-2013 12:37","17-10-2013 12:37","0,414444444",Other,1,SD0015908,,,
SBA000585,application,"Server Based Application",WBS000077,IM0006279,Closed,4,4,4,0.071052592,incident,KM0000563,closed,11,"17-10-2013 12:13",,"29-10-2013 17:15","29-10-2013 17:15","2,33,93,88,889",Software,1,SD0015909,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006280,Closed,5,5,5,0.260946917,"request for information",KM0001111,closed,0,"17-10-2013 12:13",,"19-11-2013 07:54","19-11-2013 07:54","2,37,17,72,222",Other,1,SD0015910,,,
SBA000028,application,"Server Based Application",WBS000030,IM0006281,Closed,5,5,5,0.044844602,"request for information",KM0000168,closed,0,"17-10-2013 12:14",,"18-10-2013 09:13","18-10-2013 09:14","7,49,88,88,889","No error - works as designed",1,SD0015911,,,
SBA000263,application,"Server Based Application",WBS000072,IM0006282,Closed,5,5,5,0.478397597,"request for information",KM0001111,closed,0,"17-10-2013 12:15",,"18-10-2013 10:09","18-10-2013 10:09","84,075",Other,1,SD0015912,,,
SBA000759,application,"Server Based Application",WBS000296,IM0006283,Closed,NS,3,NA,0.823409605,"request for information",KM0001031,closed,0,"17-10-2013 12:15",,"24-10-2013 19:29","24-10-2013 19:29","2,36,19,44,444",Inquiry,1,SD0015913,,,
SBA000585,application,"Server Based Application",WBS000077,IM0006284,Closed,4,4,4,0.54945364,incident,KM0000563,closed,6,"17-10-2013 12:16",,"22-10-2013 11:20","22-10-2013 11:21","4,92,72,22,222",Data,1,SD0015914,,,
WBA000008,application,"Web Based Application",WBS000167,IM0006285,Closed,5,5,5,0.366141252,incident,KM0000069,closed,2,"17-10-2013 12:18",,"24-10-2013 10:52","24-10-2013 10:53","5,10,76,66,667",Software,1,SD0015916,,,
WBA000058,application,"Web Based Application",WBS000073,IM0006286,Closed,4,4,4,0.704890857,incident,KM0001241,closed,2,"17-10-2013 12:24",,"18-10-2013 16:26","18-10-2013 16:26","1,45,37,77,778",Other,1,SD0015915,,,
SBA000689,application,"Server Based Application",WBS000228,IM0006287,Closed,5,5,5,0.96797982,"request for information",KM0000656,closed,0,"17-10-2013 12:26",,"17-10-2013 12:48","17-10-2013 12:48","0,375277778","No error - works as designed",1,SD0015918,,,
DTA000025,application,"Desktop Application",WBS000110,IM0006288,Closed,5,5,5,0.375445223,"request for information",KM0000897,closed,0,"17-10-2013 12:31",,"17-10-2013 13:19","17-10-2013 13:19","0,806944444",Other,1,SD0015919,,,
SAP000004,application,SAP,WBS000271,IM0006289,Closed,5,5,5,0.166113419,"request for information",KM0001269,closed,4,"17-10-2013 12:31",,"22-10-2013 10:00","22-10-2013 10:00","2,89,79,44,444",Other,1,SD0015920,,,
WBA000124,application,"Web Based Application",WBS000088,IM0006290,Closed,5,5,5,0.216060555,incident,KM0000424,closed,0,"17-10-2013 11:40",,"08-11-2013 15:28","08-11-2013 15:28","1,71,79,61,111",Other,1,SD0015951,,,
SBA000451,application,"Server Based Application",WBS000073,IM0006291,Closed,5,5,5,0.896362679,incident,KM0001559,closed,1,"17-10-2013 11:41",,"18-10-2013 09:38","18-10-2013 09:38","8,45,22,22,222",Data,1,SD0015950,,,
WBA000122,application,"Web Based Application",WBS000298,IM0006292,Closed,4,4,4,0.041354592,incident,KM0001552,closed,7,"17-10-2013 11:47",,"07-11-2013 07:55","07-11-2013 07:55","9,71,50,27,778",Unknown,1,SD0015949,,,
DTA000025,application,"Desktop Application",WBS000110,IM0006293,Closed,4,4,4,0.293367812,incident,KM0001094,closed,0,"17-10-2013 11:50",,"23-10-2013 11:24","23-10-2013 11:24","4,15,60,55,556",Hardware,1,SD0015959,,,
SUB000455,subapplication,"Web Based Application",WBS000073,IM0006294,Closed,4,4,4,0.922033393,incident,KM0001728,closed,0,"17-10-2013 11:53",,"17-10-2013 12:10","17-10-2013 12:10","0,291111111",Other,1,SD0015961,,,
WBA000058,application,"Web Based Application",WBS000073,IM0006295,Closed,4,4,4,0.205131653,incident,KM0001741,closed,1,"17-10-2013 11:58",,"25-10-2013 10:39","25-10-2013 10:41","2,48,80,27,778",Unknown,1,SD0015960,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0006296,Closed,4,4,4,0.018405257,incident,KM0000741,closed,0,"17-10-2013 11:58",,"17-10-2013 12:05","17-10-2013 12:05","0,1075",Other,1,SD0015965,,,
WBA000144,application,"Web Based Application",WBS000318,IM0006297,Closed,5,5,5,0.301653386,incident,KM0000836,closed,2,"17-10-2013 12:00",,"18-10-2013 09:08","18-10-2013 09:08","7,64,52,77,778",Other,1,SD0015966,,,
DTA000026,application,"Desktop Application",WBS000177,IM0006298,Closed,5,5,5,0.200143489,incident,KM0000832,closed,0,"17-10-2013 12:11",,"17-10-2013 14:02","17-10-2013 14:03","1,86,19,44,444",Data,1,SD0015971,,,
WBA000133,application,"Web Based Application",WBS000073,IM0006299,Closed,4,4,4,0.018689372,incident,KM0001313,closed,0,"17-10-2013 12:14",,"22-10-2013 16:03","22-10-2013 16:03","3,38,54,44,444",Other,1,SD0015970,,,
LAP000141,computer,Laptop,WBS000187,IM0006300,Closed,5,5,5,0.069314671,incident,KM0001447,closed,0,"17-10-2013 12:15",,"22-10-2013 08:47","22-10-2013 08:47","2,80,19,72,222",Hardware,1,SD0015972,,,
LAP001391,computer,Laptop,WBS000091,IM0006301,Closed,5,5,5,0.060862796,incident,KM0001444,closed,0,"17-10-2013 12:18",,"18-10-2013 15:34","18-10-2013 15:34","1,37,56,11,111",Hardware,1,SD0015976,,,
SBA000607,application,"Server Based Application",WBS000263,IM0006302,Closed,4,4,4,0.753679702,incident,KM0000592,closed,0,"17-10-2013 12:18",,"17-10-2013 12:19","17-10-2013 12:20","0,026111111",Other,1,SD0015978,,,
SBA000462,application,"Server Based Application",WBS000073,IM0006303,Closed,4,4,4,0.192318581,incident,KM0001772,closed,0,"17-10-2013 12:22",,"17-10-2013 12:33","17-10-2013 12:33","0,184444444",Other,1,SD0015980,,,
SCN000001,officeelectronics,Scanner,WBS000125,IM0006304,Closed,3,3,3,0.011296906,incident,KM0001491,closed,0,"17-10-2013 12:25",,"17-10-2013 12:26","17-10-2013 12:27","0,027222222",Other,2,#MULTIVALUE,,,
SBA000659,application,"Server Based Application",WBS000128,IM0006305,Closed,4,4,4,0.371724577,incident,KM0002059,closed,0,"17-10-2013 12:26",,"17-10-2013 12:51","17-10-2013 12:51","0,410833333",Software,1,SD0015984,,,
SBA000607,application,"Server Based Application",WBS000263,IM0006306,Closed,5,5,5,0.463439513,"request for information",KM0001105,closed,1,"17-10-2013 12:28",,"21-10-2013 10:17","21-10-2013 10:17","1,88,21,11,111",Other,1,SD0015982,,,
SBA000131,application,"Server Based Application",WBS000023,IM0006307,Closed,3,3,3,0.3232788,incident,KM0000940,closed,0,"17-10-2013 12:39",,"17-10-2013 13:05","17-10-2013 13:05","0,433888889",Other,1,SD0015992,,,
SBA000805,application,"Server Based Application",WBS000016,IM0006308,Closed,3,3,3,0.542349398,incident,KM0000938,closed,0,"17-10-2013 12:57",,"17-10-2013 12:58","17-10-2013 12:58","0,021666667",Software,1,SD0016001,,,
ADB000005,database,Database,WBS000239,IM0006309,Closed,3,3,3,0.196606387,incident,KM0000940,closed,0,"17-10-2013 13:04",,"17-10-2013 13:13","17-10-2013 13:13","0,148888889",Other,1,SD0016130,,,
SBA000607,application,"Server Based Application",WBS000263,IM0006310,Closed,5,5,5,0.977729052,"request for information",KM0001825,closed,2,"17-10-2013 13:26",,"17-10-2013 15:51","17-10-2013 15:51","2,425",Other,1,SD0016134,,,
APP000005,application,Citrix,WBS000292,IM0006311,Closed,4,4,4,0.874119563,incident,KM0001131,closed,0,"17-10-2013 13:32",,"17-10-2013 16:59","17-10-2013 17:01","3,47,91,66,667",Software,1,SD0016133,,,
CBA000018,application,"Client Based Application",WBS000251,IM0006312,Closed,4,4,4,0.059268169,incident,KM0000655,closed,0,"17-10-2013 13:47",,"17-10-2013 15:06","17-10-2013 15:10","1,37,80,55,556",Other,1,SD0016139,,,
SBA000131,application,"Server Based Application",WBS000023,IM0006313,Closed,NS,4,NA,0.152496246,incident,KM0000283,closed,3,"17-10-2013 13:48",,"18-10-2013 10:55","18-10-2013 10:55","7,61,63,88,889",Software,1,SD0016137,,,
DTA000026,application,"Desktop Application",WBS000177,IM0006314,Closed,5,4,4,0.632210829,incident,KM0000999,closed,0,"17-10-2013 14:02",,"18-10-2013 09:26","18-10-2013 09:26","5,90,91,66,667","User manual not used",1,SD0016145,,,
WBA000058,application,"Web Based Application",WBS000073,IM0006315,Closed,4,4,4,0.180173929,incident,KM0002043,closed,0,"17-10-2013 14:07",,"17-10-2013 14:27","17-10-2013 14:33","0,42",Software,1,SD0016146,,,
SBA000659,application,"Server Based Application",WBS000128,IM0006316,Closed,4,4,4,0.924271471,incident,KM0002059,closed,0,"17-10-2013 14:42",,"17-10-2013 15:52","17-10-2013 15:52","1,16,38,88,889",Software,1,SD0016163,,,
